Country,LPI_Score
Singapore,4.3
Finland,4.2
Denmark,4.1
Germany,4.1
Netherlands,4.1
Switzerland,4.1
Austria,4.0
Belgium,4.0
Canada,4.0
"Hong Kong SAR, China",4.0
Sweden,4.0
United Arab Emirates,4.0
France,3.9
Japan,3.9
Spain,3.9
"Taiwan, China",3.9
"Korea, Rep.",3.8
United States,3.8
Australia,3.7
China,3.7
Greece,3.7
Italy,3.7
Norway,3.7
South Africa,3.7
United Kingdom,3.7
Estonia,3.6
Iceland,3.6
Ireland,3.6
Israel,3.6
Luxembourg,3.6
Malaysia,3.6
New Zealand,3.6
Poland,3.6
Bahrain,3.5
Latvia,3.5
Qatar,3.5
Thailand,3.5
India,3.4
Lithuania,3.4
Portugal,3.4
Saudi Arabia,3.4
Turkiye,3.4
Croatia,3.3
Czechia,3.3
Malta,3.3
Oman,3.3
Philippines,3.3
Slovak Republic,3.3
Slovenia,3.3
Viet Nam,3.3
Brazil,3.2
Bulgaria,3.2
Cyprus,3.2
Hungary,3.2
Kuwait,3.2
Romania,3.2
Botswana,3.1
"Egypt, Arab Rep.",3.1
North Macedonia,3.1
Panama,3.1
Bosnia and Herzegovina,3.0
Chile,3.0
Indonesia,3.0
Peru,3.0
Uruguay,3.0
Antigua and Barbuda,2.9
Benin,2.9
Colombia,2.9
Costa Rica,2.9
Honduras,2.9
Mexico,2.9
Namibia,2.9
Argentina,2.8
Montenegro,2.8
Rwanda,2.8
Serbia,2.8
Solomon Islands,2.8
Sri Lanka,2.8
"Bahamas, The",2.7
Belarus,2.7
Djibouti,2.7
El Salvador,2.7
Georgia,2.7
Kazakhstan,2.7
Papua New Guinea,2.7
Paraguay,2.7
Ukraine,2.7
Bangladesh,2.6
"Congo, Rep.",2.6
Dominican Republic,2.6
Guatemala,2.6
Guinea-Bissau,2.6
Mali,2.6
Nigeria,2.6
Russian Federation,2.6
Uzbekistan,2.6
Albania,2.5
Algeria,2.5
Armenia,2.5
Bhutan,2.5
Central African Republic,2.5
"Congo, Dem. Rep.",2.5
Ghana,2.5
Grenada,2.5
Guinea,2.5
Jamaica,2.5
Mauritius,2.5
Moldova,2.5
Mongolia,2.5
Nicaragua,2.5
Tajikistan,2.5
Togo,2.5
Trinidad and Tobago,2.5
Zimbabwe,2.5
Bolivia,2.4
Cambodia,2.4
Gabon,2.4
Guyana,2.4
Iraq,2.4
Lao PDR,2.4
Liberia,2.4
Sudan,2.4
Burkina Faso,2.3
Fiji,2.3
"Gambia, The",2.3
"Iran, Islamic Rep.",2.3
Kyrgyz Republic,2.3
Madagascar,2.3
Mauritania,2.3
Syrian Arab Republic,2.3
"Venezuela, RB",2.3
Cuba,2.2
"Yemen, Rep.",2.2
Angola,2.1
Cameroon,2.1
Haiti,2.1
Somalia,2.0
Afghanistan,1.9
Libya,1.9
