Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,0.00033910511981140496
Albania,0.00027335482912629465,0.002180358851400417
Algeria,0.0,0.012975651806685614
Angola,5.406372395641344e-06,0.0007138598652940805
Antigua and Barbuda,3.0622922897550894e-06,4.784411659556196e-05
Argentina,0.0031876380055976686,0.0004222931675222907
Armenia,0.0001740613827958698,0.00043451767584881966
Australia,0.004492150952631166,0.0018202677627991652
Austria,0.1111078300087827,0.07384170284081568
Azerbaijan,0.00041577243609885843,0.0007191668364007934
Bahamas,2.9639070800336136e-06,0.00026205388459660245
Bahrain,0.00011225734065019405,0.0006678860951085896
Bangladesh,0.0,0.002270715202474771
Barbados,6.047101764351298e-05,0.00010953532230117615
Belarus,0.0021765291666448728,0.0036073046400524537
Belgium,0.2832436847291758,0.3160727382739566
Belize,0.0,0.00010951496865433693
Benin,6.167159469197814e-05,0.0006953614543805624
Bhutan,0.0,4.2790261835134997e-05
Bolivia (Plurinational State of),0.00025675124651731047,0.0001231818179858887
Bosnia and Herzegovina,0.0009097341964425143,0.0026889702651791323
Botswana,7.549040143154969e-06,6.241739244391445e-05
Brazil,0.020195143450846352,0.002401774128593827
Brunei Darussalam,7.837296342332198e-07,5.4901137493737195e-05
Bulgaria,0.01355134865022699,0.011231818535404496
Burkina Faso,0.0005278797637971317,0.0008158665936368222
Burundi,5.002074679769683e-05,3.4014676539194787e-05
Cabo Verde,0.0,0.00029882283855265436
Cambodia,0.0006816505901412782,0.000801314718522302
Cameroon,0.001625121866739937,0.0011519726698425545
Canada,0.05577964683470835,0.024467577553730104
Central African Republic,3.021002647876371e-07,9.686729872490947e-05
Chad,0.0,0.00019348845142186182
Chile,0.0026737882052662483,0.0016655358059472476
"China, Hong Kong SAR",0.004570232673909863,0.006146987118357741
"China, Macao SAR",1.1047004670188597e-05,0.0003033605147093097
"China, Taiwan Province of",0.001265773137886507,0.002715330272122432
"China, mainland",0.017617102972528033,0.04215961865510756
Colombia,0.006731505409140824,0.0027555195204176
Comoros,2.0868340240828757e-05,4.8433340113040144e-05
Congo,1.1653085393552479e-05,0.0005461718413257125
Cook Islands,0.0,1.534139856711113e-06
Costa Rica,0.0036019755725534186,0.0009311285030550235
Croatia,0.007128895839287607,0.013838776738020146
Cuba,0.00029397050250519555,0.000898714701444983
Cyprus,0.0011301543021326249,0.003952551833141649
Czechia,0.052452182205015796,0.052177768564872974
Côte d'Ivoire,0.012429474756755245,0.0030670558889839632
Democratic People's Republic of Korea,0.0,1.8747711342182097e-05
Democratic Republic of the Congo,0.00013505681870993247,0.0009660897606477026
Denmark,0.0686061604735993,0.07266398042064277
Djibouti,2.606653018327095e-05,0.000373082199649039
Dominica,2.8070788365875953e-06,2.171167418543461e-05
Dominican Republic,0.0029075882757416205,0.0018695913957091769
Ecuador,0.0030649557858214286,0.0007275076312152105
Egypt,0.004528962799066156,0.006960935414317112
El Salvador,0.00048424896048758,0.0008180505025705571
Equatorial Guinea,0.0,0.00041920713729892424
Eritrea,0.0,1.869264086984913e-05
Estonia,0.001674769886561463,0.0054329054405462375
Eswatini,9.583606984266043e-05,2.66283558026489e-05
Ethiopia,0.0024115185793012485,0.00034218573422631457
Faroe Islands,0.0,0.0002338937768927816
Fiji,1.56391238426277e-05,1.4687701820233244e-05
Finland,0.003961861447046675,0.025680602612609935
France,0.27264116670233884,0.35150373777488275
French Polynesia,5.488828972301012e-06,6.23934422664102e-05
Gabon,7.535781547914334e-05,0.0007121305776684927
Gambia,7.250481804324559e-07,0.0004223621850239223
Georgia,0.0007804612182787415,0.0011574001429300743
Germany,0.2398830960896389,0.7387818674997146
Ghana,0.004076533622296605,0.0029575511970590853
Greece,0.025698669692713862,0.02688676178437705
Grenada,3.4911080151144548e-06,4.017649316414085e-05
Guatemala,0.0044990416688818905,0.0017020922966369879
Guinea,0.0,0.0009898058869384778
Guinea-Bissau,0.0,0.00017841217342409475
Guyana,0.0002083202161853999,0.00012221844500629993
Haiti,0.0,0.0005700636838196008
Honduras,0.0027112598931787395,0.0010146547232027833
Hungary,0.04044662342393406,0.029809132478812343
Iceland,0.0003208588550952881,0.0026680477194929173
India,0.011837315599888756,0.0032249672954865463
Indonesia,0.009396536800738271,0.002171776865028676
Iran (Islamic Republic of),0.0019371677259572857,0.002707808969001124
Iraq,0.0,0.005404860983832574
Ireland,0.06659120495705831,0.043944030518390846
Israel,0.003788542807772354,0.009279661826258343
Italy,0.2445022234774338,0.1704684532694058
Jamaica,0.0003824512298680744,0.00048089866908475234
Japan,0.0018163981234871824,0.01317532443616346
Jordan,0.00037529522004245907,0.002733133857381987
Kazakhstan,0.0009249950169742203,0.0014195172882334088
Kenya,0.0024652695553398813,0.0004719553106417211
Kiribati,1.9622930604952834e-08,2.086540943599782e-06
Kuwait,7.244416678668178e-05,0.0028279331075044887
Kyrgyzstan,6.031173852560095e-05,0.0001580192638296061
Lao People's Democratic Republic,0.00046603585963017656,0.0002660249852111962
Latvia,0.00585049494171792,0.009250834308375557
Lebanon,0.0004853805594849005,0.0020975071036431147
Lesotho,1.5295272757026643e-05,3.262307707815118e-05
Liberia,0.0,0.00029384514544471117
Libya,0.0,0.003967001479219621
Lithuania,0.014136457979442123,0.013808219876675711
Luxembourg,0.015205009026501968,0.019403154586086165
Madagascar,0.0007699543320626636,0.00014354849688787805
