Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,9.241615343215261e-05
Albania,0.00015960049848549754,0.0011667655503285318
Algeria,0.0,0.005286426488424326
Angola,0.0,0.000363265470839972
Antigua and Barbuda,0.0,2.2586747131895068e-05
Argentina,0.0,0.00017949233340245433
Armenia,0.0,0.00018047291256051125
Australia,0.0,0.0026918474795828294
Austria,0.10184987874140883,0.05322012531124092
Azerbaijan,0.0,0.0002309031466288803
Bahamas,0.0,3.087607152922916e-05
Bahrain,0.0,0.00031297207094229654
Bangladesh,0.0,0.00022315930288383326
Barbados,0.0,4.629930535719239e-05
Belarus,0.001084946992230905,0.0020218252340587304
Belgium,0.26745536560550354,0.46269091030064213
Belize,0.0,2.5492959351866572e-05
Benin,0.0,0.0002819574804059506
Bhutan,0.0,3.775605291903685e-07
Bolivia (Plurinational State of),0.0,2.2239737590211796e-05
Bosnia and Herzegovina,0.0006204606187464978,0.0017365287688867169
Botswana,0.0,6.2098444046176166e-06
Brazil,0.0,0.0015935057787077086
Brunei Darussalam,0.0,1.2362950669177961e-05
Bulgaria,0.007114626659460394,0.005731829911459101
Burkina Faso,0.0,0.0003514122898214686
Burundi,0.0,1.9437498005856267e-05
Cabo Verde,0.0,0.000157275433237046
Cambodia,0.0,0.00019523100541152821
Cameroon,0.0,0.0005633179303854334
Canada,0.0,0.004093557671323442
Central African Republic,0.0,5.336218990737366e-05
Chad,0.0,9.53232029202911e-05
Chile,0.0,0.0009908029365204474
"China, Hong Kong SAR",0.0,0.002720173728002183
"China, Macao SAR",0.0,7.530765050575542e-05
"China, Taiwan Province of",0.0,0.0016276706923861657
"China, mainland",0.0,0.0219075693111821
Colombia,0.0,0.0006968658364759331
Comoros,0.0,2.950409309354684e-05
Congo,0.0,0.0002832910755833829
Cook Islands,0.0,9.912612962981733e-07
Costa Rica,0.0,0.00021741037818254926
Croatia,0.005167454361297682,0.00937374370849341
Cuba,0.0,0.0003832395102825019
Cyprus,0.0,0.0019085501893713133
Czechia,0.05275672464814977,0.040960793427351115
Côte d'Ivoire,0.0,0.0014889671615979227
Democratic People's Republic of Korea,0.0,1.711490329747149e-07
Democratic Republic of the Congo,0.0,0.0005671726555943657
Denmark,0.0552643441659194,0.060917790889560126
Djibouti,0.0,8.119536303521909e-05
Dominica,0.0,1.2388231796413727e-05
Dominican Republic,0.0,0.0005082428170655851
Ecuador,0.0,0.00022292406829872317
Egypt,0.0,0.002725662159808615
El Salvador,0.0,8.220993647916246e-05
Equatorial Guinea,0.0,0.00019533786854834535
Eritrea,0.0,2.9363618131946992e-06
Estonia,0.0010034207625726833,0.0031515402277672144
Eswatini,0.0,9.027193545108598e-07
Ethiopia,0.0,0.0001545845591745081
Faroe Islands,0.0,0.0001312023257900027
Fiji,0.0,7.006693045404951e-06
Finland,0.0022342690958225765,0.014952515642475168
France,0.21656224628270554,0.2614097478978499
French Polynesia,0.0,0.00010487030812881695
Gabon,0.0,0.0003847966522662427
Gambia,0.0,0.00022279685559087312
Georgia,0.0,0.0004566489155368645
Germany,0.184254587215613,0.7732395771158583
Ghana,0.0,0.0015645227631659736
Greece,0.013786393213075811,0.014026114215342748
Grenada,0.0,1.8912587384451575e-05
Guatemala,0.0,0.0002657566338577787
Guinea,0.0,0.0005039762928468686
Guinea-Bissau,0.0,0.00010240521803297487
Guyana,0.0,6.353209060519465e-05
Haiti,0.0,0.00013041445202372986
Honduras,0.0,0.0001341711970759369
Hungary,0.027959044193088985,0.019499150702107525
Iceland,0.00015605209302865512,0.0015255086329265515
India,0.0,0.0009874423465179476
Indonesia,0.0,0.0008547149369477244
Iran (Islamic Republic of),0.0,0.0008031821486745292
Iraq,0.0,0.0014097871963664964
Ireland,0.04703381776677871,0.030460308449654493
Israel,0.0,0.003997608676779252
Italy,0.1534616661936215,0.09823027467401371
Jamaica,0.0,0.0001570612074678556
Japan,0.0,0.006163360468385513
Jordan,0.0,0.0011785317319560923
Kazakhstan,0.0,0.0005871248203472704
Kenya,0.0,0.00020484477535351694
Kiribati,0.0,2.0053145719847018e-06
Kuwait,0.0,0.00136736289914605
Kyrgyzstan,0.0,4.48543201634769e-05
Lao People's Democratic Republic,0.0,1.605717342024275e-05
Latvia,0.0036600152164293098,0.005382384125810846
Lebanon,0.0,0.0008559993212919818
Lesotho,0.0,5.774035265616597e-07
Liberia,0.0,0.00015228273222143426
Libya,0.0,0.0016401767267288216
Lithuania,0.008783298637152019,0.008780599728485213
Luxembourg,0.02018675387661681,0.025844309392689956
Madagascar,0.0,6.57648859714818e-05
Malawi,0.0,6.038672485623061e-06
Malaysia,0.0,0.0010620160663221757
Maldives,0.0,7.027860777628604e-05
Mali,0.0,0.0005880818454926575
Malta,2.196578877343137e-05,0.001972432073826596
Marshall Islands,0.0,1.1546829384850595e-07
Mauritania,0.0,0.0005796281493618732
Mauritius,0.0,0.0001627298511720397
Mexico,0.0,0.0014404764635622953
Micronesia (Federated States of),0.0,1.169141306363708e-07
Mongolia,0.0,0.00018417992814574567
Montenegro,3.76433860317622e-05,0.00048710125234970535
Morocco,0.0,0.005024675479576198
Mozambique,0.0,7.979551648510192e-05
Myanmar,0.0,0.0
Namibia,0.0,3.9726166482364385e-05
Nauru,0.0,9.361570517388774e-08
Nepal,0.0,3.6708475079001504e-05
Netherlands (Kingdom of the),0.8685729081532151,0.1912658802056179
New Caledonia,0.0,0.00010822395984603606
New Zealand,0.0,0.000497555951377885
Nicaragua,0.0,7.683617939340282e-05
Niger,0.0,0.00017836795245590906
Nigeria,0.0,0.0019013657052236628
North Macedonia,0.0007145668405524265,0.000694392033906585
Norway,0.0016126140658711348,0.0198361900555557
Oman,0.0,0.0004866643987256211
Pakistan,0.0,0.0005406872214863121
Palestine,0.0,0.0001561717443765632
Panama,0.0,0.00024062785952157117
Papua New Guinea,0.0,9.05598974477855e-06
Paraguay,0.0,0.0002733234916709048
Peru,0.0,0.0003709928554532199
Philippines,0.0,0.0018161723209096272
Poland,0.1650259792270746,0.07959895098983852
Portugal,0.012993856365838106,0.02713305386274207
Qatar,0.0,0.0010641784891205189
Republic of Korea,0.0,0.003949817708078909
Republic of Moldova,0.0008446126947227737,0.0008561699060150705
Romania,0.011016287918558446,0.018643561154226943
Russian Federation,0.0028621072447461435,0.008059102575731891
Rwanda,0.0,5.1673068190741246e-05
Saint Kitts and Nevis,0.0,5.441031721069102e-06
Saint Lucia,0.0,1.6141485069693837e-05
Saint Vincent and the Grenadines,0.0,8.62195075345148e-06
Samoa,0.0,1.1109066614236013e-06
Sao Tome and Principe,0.0,1.2882018687201315e-05
Saudi Arabia,0.0,0.005662989122387623
Senegal,0.0,0.0012439849107922063
Serbia,0.005916508454752355,0.004289451445066084
Seychelles,0.0,4.268874279857675e-05
Sierra Leone,0.0,0.00019475736416124404
Singapore,0.0,0.002049855592609607
Slovakia,0.008841668718876908,0.016270459484619294
Slovenia,0.005484873386831843,0.007097376792273863
Solomon Islands,0.0,1.7185071178352825e-07
Somalia,0.0,6.875387842234422e-05
South Africa,0.0,0.0017333857481623837
South Sudan,0.0,1.2426362266071062e-07
Spain,0.13618772238637325,0.06854275616891392
Sri Lanka,0.0,0.00012762095642864586
Sudan,0.0,0.0001603050946320943
Suriname,0.0,0.00022950675445533797
Sweden,0.009956159697409166,0.03756686205770652
Switzerland,0.03951994284689674,0.05203617676574888
Syrian Arab Republic,0.0,0.00014425472693307918
Tajikistan,0.0,2.5627835675865964e-05
Thailand,0.0,0.0010475253307187446
Timor-Leste,0.0,3.618685261819224e-08
Togo,0.0,0.00026221882369032953
Tokelau,0.0,1.005538598090462e-10
Tonga,0.0,3.3171388644278347e-07
Trinidad and Tobago,0.0,0.00013667630521037077
Tunisia,0.0,0.0008224347631088538
Turkmenistan,0.0,2.276275257490092e-05
Tuvalu,0.0,2.7987322215224088e-08
Türkiye,0.0,0.006771402935618688
Uganda,0.0,0.0002167888028027759
Ukraine,0.015760724918125902,0.008098429923592523
United Arab Emirates,0.0,0.004238646362409056
United Kingdom of Great Britain and Northern Ireland,0.039192315766879184,0.20997943806129543
United Republic of Tanzania,0.0,0.00012356975439747293
United States of America,0.0,0.02454710488327565
Uruguay,0.0,0.0001154397419822501
Uzbekistan,0.0,0.00027931660901687517
Vanuatu,0.0,1.5474774885457282e-06
Venezuela (Bolivarian Republic of),0.0,8.020077418350029e-05
Viet Nam,0.0,0.0011078203000995008
Yemen,0.0,0.00046000956813223727
Zambia,0.0,3.8574652902669646e-05
Zimbabwe,0.0,3.373221383215852e-05
