Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,0.0004098339380954001
Albania,0.00025283881708715577,0.0019849195397467134
Algeria,0.0,0.011975963498377463
Angola,6.5491552953767925e-06,0.0010585117343299864
Antigua and Barbuda,4.0701178866141625e-06,6.983582005998944e-05
Argentina,0.009895517477909586,0.001012303737604214
Armenia,0.0001879943634931135,0.0003992415426307438
Australia,0.015259908538377102,0.007335016482215839
Austria,0.11086125440808403,0.06988283366778734
Azerbaijan,0.00040098505252214036,0.0006617577666626505
Bahamas,3.7177842153399552e-06,0.00040664008237712286
Bahrain,0.0001223336104973123,0.0007515098845074276
Bangladesh,0.0,0.00421833602206079
Barbados,7.560879082492838e-05,0.00016716958201341316
Belarus,0.0023276087664247766,0.003322153596875016
Belgium,0.28109455074526163,0.33431133979196404
Belize,0.0,0.0001617921918805904
Benin,0.00010875295952642772,0.0008638950867146013
Bhutan,0.0,6.008156070550398e-05
Bolivia (Plurinational State of),0.0005172805158624465,0.00026452447016086107
Bosnia and Herzegovina,0.0008507061318378813,0.002477933128995384
Botswana,1.3490528130426549e-05,0.00011278834332724874
Brazil,0.04864917283883585,0.004457534861981439
Brunei Darussalam,1.5004815906636903e-06,0.00010977149877138974
Bulgaria,0.01218324989499193,0.009913982032470185
Burkina Faso,0.0005509401649522872,0.0008000232255564009
Burundi,6.431362645421482e-05,4.45625656365945e-05
Cabo Verde,0.0,0.00030783043099075403
Cambodia,0.001266677342481525,0.0015234850995681137
Cameroon,0.0017295441008423843,0.0012824861993430583
Canada,0.06485941883597367,0.03665132704504659
Central African Republic,8.715750683511061e-07,0.00010485965357897095
Chad,0.0,0.00019105474746396634
Chile,0.0074349411608798585,0.00430910646745466
"China, Hong Kong SAR",0.008077850142494267,0.011187527537446106
"China, Macao SAR",2.1564146100926054e-05,0.0005416494828132434
"China, Taiwan Province of",0.0025425515360593736,0.006329811587299517
"China, mainland",0.02833847042746533,0.0827148215952136
Colombia,0.009867401725233834,0.00471941909397139
Comoros,3.0852221733172915e-05,7.133213934650467e-05
Congo,1.2521118289536324e-05,0.0006589518594276194
Cook Islands,0.0,6.739380528448066e-06
