Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,0.00029157213347467975
Albania,5.864876466724913e-05,0.00077039419066786
Algeria,0.0,0.003097298610428661
Angola,0.0,0.0011213106465327533
Antigua and Barbuda,0.0,0.0001251091882835292
Argentina,0.0,0.0009098132863676223
Armenia,0.0,0.0005238415909368102
Australia,0.0,0.017060606418627142
Austria,0.01088952364995347,0.04064786742194315
Azerbaijan,0.0,0.0008586221619443462
Bahamas,0.0,9.488995728823399e-05
Bahrain,0.0,0.0012384091128503543
Bangladesh,0.0,0.0007403539026743358
Barbados,0.0,0.00027823102955227646
Belarus,0.005638438118802003,0.002798833004618903
Belgium,0.07435193056908923,0.3350988475411626
Belize,0.0,0.0001672907847692991
Benin,0.0,0.0007836662433704259
Bhutan,0.0,2.063358908108487e-06
Bolivia (Plurinational State of),0.0,0.00015859040192319295
Bosnia and Herzegovina,7.34174624031522e-05,0.0019145871436378845
Botswana,0.0,2.1266352610747952e-05
Brazil,0.0,0.006697715264465816
Brunei Darussalam,0.0,9.888475306178605e-05
Bulgaria,0.004361255635738827,0.007082759668566868
Burkina Faso,0.0,0.0007853364025685416
Burundi,0.0,3.9357887561262844e-05
Cabo Verde,0.0,0.000723367922757024
Cambodia,0.0,0.0005420597456898529
Cameroon,0.0,0.0015818631843261988
Canada,0.0,0.009945961263227667
Central African Republic,0.0,0.0002044781076122034
Chad,0.0,0.0003043926355935247
Chile,0.0,0.004664422550723428
"China, Hong Kong SAR",0.0,0.01788767026251458
"China, Macao SAR",0.0,0.0004674331930304654
"China, Taiwan Province of",0.0,0.01150956968868573
"China, mainland",0.0,0.1300445764986855
Colombia,0.0,0.003528201005145539
Comoros,0.0,8.565979032045779e-05
Congo,0.0,0.0012293335628068463
Cook Islands,0.0,7.990265097219253e-06
Costa Rica,0.0,0.0012367579536373854
Croatia,0.000636396397042667,0.008825321208295647
Cuba,0.0,0.0011941349509665277
Cyprus,0.0,0.00538045020660638
Czechia,0.06452738067665702,0.04198116462957673
Côte d'Ivoire,0.0,0.0037743983867309524
Democratic People's Republic of Korea,0.0,1.1553048245702254e-06
Democratic Republic of the Congo,0.0,0.002623482420383437
Denmark,0.020461897637260244,0.06642755541290958
Djibouti,0.0,0.00019740321003496538
Dominica,0.0,8.03993052834112e-05
Dominican Republic,0.0,0.002071800702769696
Ecuador,0.0,0.0010311627471504485
Egypt,0.0,0.00693713509434392
El Salvador,0.0,0.0005101010118590192
Equatorial Guinea,0.0,0.0006357408029256312
Eritrea,0.0,1.3281695207661682e-05
Estonia,0.0005524669295005604,0.00455263089383894
Eswatini,0.0,4.903582264790009e-06
Ethiopia,0.0,0.0004689757871674941
Faroe Islands,0.0,0.00014473255358546892
Fiji,0.0,6.834618968331303e-05
Finland,0.0016876453925753323,0.0326350533773856
France,0.10524837191500921,0.267576079926489
French Polynesia,0.0,0.00015615591277362396
Gabon,0.0,0.0011020756538666124
Gambia,0.0,0.0010257483960694899
Georgia,0.0,0.0009513254542432639
Germany,0.08728202307575476,0.7880282875690383
Ghana,0.0,0.006449236323114554
Greece,0.006988039443764834,0.02370224911663863
Grenada,0.0,0.00012260309994770153
Guatemala,0.0,0.0016889013547547456
Guinea,0.0,0.0017909321257133502
Guinea-Bissau,0.0,0.0005257658378441315
Guyana,0.0,0.00038724442514119793
Haiti,0.0,0.0007274948010788236
Honduras,0.0,0.0009309342142494002
Hungary,0.0058189287815077866,0.01740648753792987
Iceland,0.00016390552296226558,0.0043107724456848935
India,0.0,0.0031326572422424926
Indonesia,0.0,0.0035268373267203904
Iran (Islamic Republic of),0.0,0.002619021943804464
Iraq,0.0,0.00426676576018745
Ireland,0.060078104500778204,0.051964199180420174
Israel,0.0,0.008589254833079658
Italy,0.07013471262578155,0.11510562810415997
Jamaica,0.0,0.0009535527461687946
Japan,0.0,0.021785837962072365
Jordan,0.0,0.0030681971403882444
Kazakhstan,0.0,0.00336523319920848
Kenya,0.0,0.0010132986687024835
Kiribati,0.0,1.5688407509860515e-05
Kuwait,0.0,0.005125414120787965
Kyrgyzstan,0.0,0.00035607331572753753
Lao People's Democratic Republic,0.0,9.863071219821011e-05
Latvia,0.0019522817564494304,0.007762306794521482
Lebanon,0.0,0.002061809869537433
Lesotho,0.0,4.5610734597192116e-07
Liberia,0.0,0.0006256050849604141
Libya,0.0,0.0035375923075687396
Lithuania,0.005059212282069692,0.009782970483109912
Luxembourg,0.0008549385205862945,0.004424860071993053
Madagascar,0.0,9.967032642187995e-05
Malawi,0.0,2.7316724014756786e-05
Malaysia,0.0,0.005866409965365084
Maldives,0.0,0.00023675635560788008
Mali,0.0,0.0016036873093994192
Malta,7.392504995574383e-05,0.003157989637384048
Marshall Islands,0.0,5.792774392972499e-07
Mauritania,0.0,0.0017785116022367015
Mauritius,0.0,0.0003868561644561521
Mexico,0.0,0.006130180226739373
Micronesia (Federated States of),0.0,9.393500513667365e-07
Mongolia,0.0,0.0008354065334561602
Montenegro,1.0632736331309405e-05,0.0005740266805017785
Morocco,0.0,0.005002175274777102
Mozambique,0.0,0.00027560828099292825
Myanmar,0.0,0.0003751007477456007
Namibia,0.0,0.0001706451815147157
Nauru,0.0,3.092568704125154e-07
Nepal,0.0,0.00018762931622526128
Netherlands (Kingdom of the),0.972799288158463,0.08735010245743327
New Caledonia,0.0,7.357273336817168e-05
New Zealand,0.0,0.0038423377885351637
Nicaragua,0.0,0.0005508890793916909
Niger,0.0,0.00045665502036856766
Nigeria,0.0,0.006127176998406643
North Macedonia,0.0017693917915280622,0.0009485637377862159
Norway,0.0010605572556863694,0.03266517361997458
Oman,0.0,0.0017537165937996323
Pakistan,0.0,0.0023311557023786653
Palestine,0.0,0.0005308463369997199
Panama,0.0,0.0011239829612142067
Papua New Guinea,0.0,5.936174890459597e-05
Paraguay,0.0,0.0023035855118148938
Peru,0.0,0.0023601030918584723
Philippines,0.0,0.009750278207666161
Poland,0.0430714370077656,0.09724486117697613
Portugal,0.0062476319280992225,0.019571635510363002
Qatar,0.0,0.004632139268607572
Republic of Korea,0.0,0.02438695392443458
Republic of Moldova,0.002366176125756427,0.0015977599304560428
Romania,0.005015462775438421,0.022301385872324796
Russian Federation,0.024909377188775395,0.03590863037790924
Rwanda,0.0,0.00014627469667836916
Saint Kitts and Nevis,0.0,2.821893134301391e-05
Saint Lucia,0.0,8.253133324841722e-05
Saint Vincent and the Grenadines,0.0,5.513782050829864e-05
Samoa,0.0,1.2264729563773712e-05
Sao Tome and Principe,0.0,6.130906352123794e-05
Saudi Arabia,0.0,0.01685176444382708
Senegal,0.0,0.0037710662871178803
Serbia,0.0018206539805715929,0.005088083605696992
Seychelles,0.0,0.00019211814390123258
Sierra Leone,0.0,0.0009403454588778465
Singapore,0.0,0.008493454476290692
Slovakia,0.0022447347381838534,0.014725675260741207
Slovenia,0.0008702900160725437,0.0045941337742633585
Solomon Islands,0.0,7.76287591726862e-08
Somalia,0.0,0.00034436163799209655
South Africa,0.0,0.008880543051436821
South Sudan,0.0,1.1469116886898323e-06
Spain,0.07589947680385611,0.09101423116558892
Sri Lanka,0.0,0.0006115459051655438
Sudan,0.0,0.0006537891567303503
Suriname,0.0,0.0015390326247947566
Sweden,0.005513777650225059,0.06304058958131772
Switzerland,0.014570680600956573,0.03749320287033208
Syrian Arab Republic,0.0,0.0005510087352602144
Tajikistan,0.0,0.0002142847092203176
Thailand,0.0,0.004741334586806735
Timor-Leste,0.0,7.216786820373176e-07
Togo,0.0,0.0007359482975443413
Tokelau,0.0,7.489212966600703e-13
Tonga,0.0,3.2466519429911684e-06
Trinidad and Tobago,0.0,0.0007648935338714553
Tunisia,0.0,0.0007086877739922103
Turkmenistan,0.0,0.00011193633363971485
Tuvalu,0.0,8.825008652755825e-09
Türkiye,0.0,0.02364815681126424
Uganda,0.0,0.0012111944373287343
Ukraine,0.024752890533840805,0.01157022900219913
United Arab Emirates,0.0,0.016951929874967058
United Kingdom of Great Britain and Northern Ireland,0.08286428286364987,0.31329029930871827
United Republic of Tanzania,0.0,0.000687879314203208
United States of America,0.0,0.12476549737428684
Uruguay,0.0,0.0005736120348942244
Uzbekistan,0.0,0.001283540458840647
Vanuatu,0.0,3.557612873011972e-06
Venezuela (Bolivarian Republic of),0.0,0.0004135362905937534
Viet Nam,0.0,0.007109749369893663
Yemen,0.0,0.0010350541287049843
Zambia,0.0,0.0002432268769086142
Zimbabwe,0.0,0.00022032683259898183
