Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,0.001348753425697985
Albania,0.00017949529570099307,0.001529093143649433
Algeria,0.0,0.02282961417198473
Angola,1.0014099706949244e-05,0.004383266568046961
Antigua and Barbuda,5.9006319583146905e-06,0.0003421104015058345
Argentina,0.06814074960928751,0.0067299271405647
Armenia,0.0004161766400177317,0.000584810363269881
Australia,0.1260166262161325,0.029608136802323996
Austria,0.046495688441936606,0.0319359249154622
Azerbaijan,0.0005936939778629765,0.00102836397938042
Bahamas,9.910108645167163e-06,0.0033137604103845226
Bahrain,0.0002507300287652173,0.001994253279744856
Bangladesh,0.0,0.03341005687062494
Barbados,0.0002239773470742135,0.001017870427425573
Belarus,0.006039109198786251,0.0028608566404697395
Belgium,0.1235872614644616,0.13649379581753315
Belize,0.0,0.0009560160110724534
Benin,0.001053167388372194,0.003524825571432385
Bhutan,0.0,0.00025981311261190766
Bolivia (Plurinational State of),0.0023107010186072664,0.0018047394137059452
Bosnia and Herzegovina,0.0003994258182683928,0.0011360841688369714
Botswana,4.103719144270467e-05,0.00029128094839631107
Brazil,0.3768125305476186,0.015042379702561413
Brunei Darussalam,1.0258381469586299e-05,0.0006129207143824539
Bulgaria,0.010315190651227501,0.005976000820343537
Burkina Faso,0.000946479149333633,0.0008934927143982584
Burundi,6.531511529586286e-05,9.06885564327641e-05
Cabo Verde,0.0,0.0003855352223775449
Cambodia,0.007512354550817728,0.00695038646551042
Cameroon,0.0021029329904031532,0.002835029874802859
Canada,0.29374296571846625,0.27189274840682426
Central African Republic,1.2291471731624315e-05,0.00012873805102882793
Chad,0.0,0.0002135139307832945
Chile,0.04790201413221622,0.02576076463911485
"China, Hong Kong SAR",0.06441558703452988,0.04948636867235887
"China, Macao SAR",0.00010139242417684177,0.0020736948562394496
"China, Taiwan Province of",0.01698258446782933,0.047145496848216874
"China, mainland",0.09839858321695531,0.6233760411886884
Colombia,0.030830634276081733,0.03784215569037539
Comoros,4.319948581533383e-05,0.00013831665780562514
Congo,1.5062914149061787e-05,0.001620089559931745
Cook Islands,0.0,7.415197133238233e-05
Costa Rica,0.01566639971288187,0.010876217957634247
Croatia,0.003235554046379067,0.006446118833297441
Cuba,0.001138380383836639,0.0053130386189764655
Cyprus,0.0008680564114299099,0.0024330588008504538
Czechia,0.01887582453936688,0.02158398021647584
Côte d'Ivoire,0.022488466603860162,0.006031297304787409
Democratic People's Republic of Korea,0.0,0.00010674826996813139
Democratic Republic of the Congo,0.0002388699606618837,0.0028205933914525172
Denmark,0.04587963509932326,0.03171997218384994
Djibouti,0.0002783972216463048,0.0024839618162672103
Dominica,5.535701819601369e-06,0.00011177813242737645
Dominican Republic,0.011499014044581866,0.019365131750291503
Ecuador,0.016007525531850836,0.008435895077709749
Egypt,0.006319575610193534,0.037243793889248006
El Salvador,0.002753612342138643,0.008619746365094131
Equatorial Guinea,0.0,0.0005844412227002548
Eritrea,0.0,0.00016513151940420037
Estonia,0.0010320384405086017,0.003569317205915457
Eswatini,0.0003292064163095713,0.0001706526648926213
Ethiopia,0.004596202145777377,0.0020782068613691687
Faroe Islands,0.0,0.0001362029137109309
Fiji,0.0002811942839893483,0.0005911015898475622
Finland,0.004768334295793485,0.012831793950779588
France,0.20109800479196938,0.15509389987582642
French Polynesia,6.011641248828202e-05,0.0010737766975069168
Gabon,0.00010535642431733803,0.0011374529502338206
Gambia,5.886647173123577e-05,0.0015149586890991589
Georgia,0.0008719320808959948,0.002897000539267843
Germany,0.13806780640658145,0.3044037809340329
Ghana,0.006402621543207777,0.0074846467920926755
Greece,0.0160312350209569,0.015880766445053034
Grenada,1.7873142538263527e-05,0.0003767606704329619
Guatemala,0.020258692947552833,0.018162309967712773
Guinea,0.0,0.002380379311616009
Guinea-Bissau,0.0,0.00021859704231435556
Guyana,0.0005162760881871727,0.0011495027818173582
Haiti,0.0,0.00698878938940737
Honduras,0.008566565328822592,0.012032228447681738
Hungary,0.016976043318543743,0.01308594709972323
Iceland,0.0003026682395500997,0.0015376776030055334
India,0.07785404576727935,0.0438417033053653
Indonesia,0.14467080689488723,0.054254510265773444
Iran (Islamic Republic of),0.004908602359345922,0.01648736996204741
Iraq,0.0,0.010282303279288491
Ireland,0.04359285263697823,0.025208462963711598
Israel,0.006161031600284872,0.015627074415628963
Italy,0.15221730378824547,0.10597763879102191
Jamaica,0.0015409301322914409,0.004899794493258941
Japan,0.022040587183249548,0.19772955093475905
Jordan,0.0006633144866373423,0.006517757760862178
Kazakhstan,0.0029575989274766242,0.0036258592157289242
Kenya,0.00462640852337116,0.0038205575487980353
Kiribati,9.89674552626592e-07,5.354236661518684e-05
Kuwait,0.00013707258242933097,0.006950425684516961
Kyrgyzstan,0.00029016945769484796,0.0005385847580881565
Lao People's Democratic Republic,0.005980397030747626,0.0024168938528243483
Latvia,0.003195717316796121,0.005627368015356883
Lebanon,0.0008190820728459856,0.0031194124145338055
Lesotho,3.4959594747145374e-05,0.00015211254972084112
Liberia,0.0,0.0009180473399605326
Libya,0.0,0.004635947380334426
Lithuania,0.007115765671413195,0.0066407209498873946
Luxembourg,0.005019279218889334,0.0077923973773687885
Madagascar,0.0027322815573520964,0.0011851568249955625
Malawi,0.0012927605429108907,0.00013152360708668017
Malaysia,0.0631071772871123,0.04109896025123055
Maldives,1.0992945929001396e-07,0.0005510398285732134
Mali,0.0,0.0013823687945431443
Malta,5.1514624117717104e-05,0.0019064913149820513
Marshall Islands,0.0,0.0001814648950212732
Mauritania,1.1847667767876371e-06,0.0018633911982177623
Mauritius,0.000545739827514113,0.001158937760392058
Mexico,0.2352381470138128,0.2598787252482841
Micronesia (Federated States of),0.0,0.00021503148994436245
Mongolia,0.004422561726234063,0.0009207848736841635
Montenegro,4.679427958377567e-05,0.0004481131089526226
Morocco,0.009731956242285004,0.01712031066300721
Mozambique,0.001208810271672071,0.0021780645366117194
Myanmar,0.0,0.0
Namibia,0.00018138619429388045,0.00042140766650378516
Nauru,0.0,2.4425447120021252e-05
Nepal,0.000956960582650418,0.003648392317624807
Netherlands (Kingdom of the),0.31126131685534997,0.15088167636409416
New Caledonia,0.0,0.0008023563446014172
New Zealand,0.11311828146586121,0.010190775107680438
Nicaragua,0.009396890076815637,0.005148852274404471
Niger,9.787433619807093e-06,0.0008384456797755487
Nigeria,0.0,0.01413571311919929
Niue,0.0,6.388760051437008e-06
North Macedonia,0.0007197421463511063,0.0007152030634092818
Norway,0.0018700234607699478,0.015088488876409244
Oman,0.0005309933733999699,0.004628595612949975
Pakistan,0.014393402710165988,0.02636663493498898
Palestine,2.7187213079891597e-05,0.0004884535174175265
Panama,0.0012304729163537924,0.010548770315770103
Papua New Guinea,0.0018000116206114696,0.001429507185397895
Paraguay,0.0035166625457532996,0.004000292809004818
Peru,0.02831645105188354,0.014987658317543135
Philippines,0.020694924741388007,0.05284975798668159
Poland,0.08633344972543261,0.05539468711825934
Portugal,0.015204228103154013,0.0282556428581931
Qatar,3.837027886940701e-05,0.00493978414516832
Republic of Korea,0.027553758999505174,0.1127749004492275
Republic of Moldova,0.0011656550278733037,0.0009779366725327528
Romania,0.011964094255312972,0.017789475488758397
Russian Federation,0.03158927386893414,0.02982903010468732
Rwanda,0.0004076152760944231,0.00021696872025497743
Saint Kitts and Nevis,0.0,0.00018974146147516456
Saint Lucia,0.0,0.01043319425803449
Saint Vincent and the Grenadines,3.748228617452104e-06,0.00025728713948664655
Samoa,3.315706093795378e-05,0.000273811515825779
Sao Tome and Principe,3.666359281414699e-05,4.791717929131811e-05
Saudi Arabia,0.001312271415726355,0.029101640646987597
Senegal,0.0027387957931481843,0.004511444239284828
Serbia,0.005301085923328771,0.0037031260870312318
Seychelles,7.433643897370582e-06,0.00018020161334115738
Sierra Leone,0.0,0.0010352783556511862
Singapore,0.042047109867351114,0.03024763687603476
Slovakia,0.004304989419305113,0.00833624441500317
Slovenia,0.0033920772038324655,0.0063138252957203956
Solomon Islands,0.0,0.00011646759767244194
Somalia,0.0,0.0017156497440170462
South Africa,0.020606237817629172,0.012341554148442534
South Sudan,0.0,0.0002618455824219979
Spain,0.161979945754991,0.09405887101646436
Sri Lanka,0.005374737148896901,0.004764565290198989
Sudan,0.0,0.00263280891005051
Suriname,6.640418925329153e-05,0.0007397369240714462
Sweden,0.010610013863834485,0.029506511054073994
Switzerland,0.03234551188934832,0.0351359934634686
Syrian Arab Republic,0.0,0.0013441890889282083
Tajikistan,0.0001814086177419054,0.00021928305968838685
Thailand,0.16219319163403526,0.038887485248007156
Timor-Leste,0.00011477208895732116,0.0004368363683263249
Togo,0.0002527279935047357,0.0026370762311586113
Tokelau,0.0,3.1904091347881544e-09
Tonga,0.0,0.00018212813323233488
Trinidad and Tobago,0.000316054661619594,0.003957950179827103
Tunisia,0.002482004757855231,0.004918022649708083
Turkmenistan,0.0,0.0003219153242513474
Tuvalu,0.0,6.471092543114848e-06
Türkiye,0.031418747334703755,0.037581218020069036
Uganda,0.0019782088979398422,0.0005152235167289169
Ukraine,0.06006662585501878,0.010673494897847776
United Arab Emirates,0.013402941603148718,0.03553820560394568
United Kingdom of Great Britain and Northern Ireland,0.05513915715915824,0.1535917407969263
United Republic of Tanzania,0.0026955005121066977,0.0016648187104656095
United States of America,0.5889900673293907,0.4112372815501533
Uruguay,0.02285862802951778,0.004424670879079738
Uzbekistan,0.0023294088014147152,0.0016786034861855834
Vanuatu,0.0,9.067637451666968e-05
Venezuela (Bolivarian Republic of),0.0,0.012965872175417562
Viet Nam,0.08728887935717387,0.06917086615635833
Yemen,0.0,0.00668420464873163
Zambia,0.0005140870822420145,0.00020799260946173227
Zimbabwe,0.0025484697709728036,0.0003590958318523609
