Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,0.0012991440686598353
Albania,0.00012991284009147922,0.0012749976172224864
Algeria,0.0,0.022813993748326128
Angola,8.457839990884218e-06,0.0047720512062989495
Antigua and Barbuda,5.112311366400657e-06,0.00034757576738518115
Argentina,0.08253655738962629,0.007438104486900474
Armenia,0.0003669605889457662,0.0005209664078350943
Australia,0.13988998832241098,0.03120616305954474
Austria,0.031532318638185196,0.021161479155059396
Azerbaijan,0.0005168895494368409,0.0009076069784748394
Bahamas,7.859298741799399e-06,0.0032953998503955583
Bahrain,0.00022211870064765712,0.002066070234108182
Bangladesh,0.0,0.03718699618959422
Barbados,0.00017896050741993821,0.0010372891498055478
Belarus,0.006211775940336299,0.002344972399318092
Belgium,0.085612332972076,0.09772323065676466
Belize,0.0,0.0009049867258680726
Benin,0.0012575460231136052,0.003681106310567807
Bhutan,0.0,0.0002311857246904161
Bolivia (Plurinational State of),0.002385773221527523,0.0019493822865675047
Bosnia and Herzegovina,0.0002698768615941966,0.0007356045478231482
Botswana,4.1504088987789476e-05,0.0002683353473161266
Brazil,0.466916733352889,0.015410386136633697
Brunei Darussalam,9.882336002523308e-06,0.0005827515467610598
Bulgaria,0.00843922926698758,0.004212372164081662
Burkina Faso,0.0008482633512196161,0.0007282024777967987
Burundi,5.195828169711859e-05,8.930093073650095e-05
Cabo Verde,0.0,0.0003515622152493775
Cambodia,0.007841761147295229,0.0064861421423343816
Cameroon,0.0017806725371880172,0.0027299938728709327
Canada,0.2532589735535727,0.2682379218726111
Central African Republic,1.4916772618584317e-05,0.0001145452615333006
Chad,0.0,0.00018214404437499155
Chile,0.05363664470595385,0.027671552342334677
"China, Hong Kong SAR",0.0677291327630136,0.05172336664859872
"China, Macao SAR",0.00010011371214606378,0.0018471261365520808
"China, Taiwan Province of",0.01698955088462244,0.05327642943266248
"China, mainland",0.09152011538899735,0.7303366481947275
Colombia,0.025301167933582676,0.03870149473728556
Comoros,3.572383785508665e-05,0.00013279050014971516
Congo,1.1808781179436304e-05,0.001647807732326535
Cook Islands,0.0,8.167278249367869e-05
Costa Rica,0.012922250414697072,0.010804019638829654
Croatia,0.002219315046212464,0.004521841416120903
Cuba,0.0012275441704695928,0.005227798421802911
Cyprus,0.0006664282998101989,0.0017401696951585043
Czechia,0.012100482000363698,0.01417313394302192
Côte d'Ivoire,0.0198982789640504,0.005710183439810736
Democratic People's Republic of Korea,0.0,9.04312244203139e-05
Democratic Republic of the Congo,0.00020360500744036325,0.0028713953415002973
Denmark,0.039126123391338384,0.02204869270464071
Djibouti,0.00026573013084826077,0.0025566741110187386
Dominica,4.139288609017738e-06,0.00011096039417342655
Dominican Republic,0.008850457516322602,0.019419214540248187
Ecuador,0.013734384699291483,0.008372493120025595
Egypt,0.005620779940374555,0.0416423333799285
El Salvador,0.002468887821761041,0.008288865380250239
Equatorial Guinea,0.0,0.0005123741325402396
Eritrea,0.0,0.00018851430736828204
Estonia,0.0008015988760537757,0.002857428237082909
Eswatini,0.000285747848451787,0.00016895146953147992
Ethiopia,0.004098224521280751,0.0022770922955712533
Faroe Islands,0.0,0.00010333792542996546
Fiji,0.00025424476590110533,0.000633115574141775
Finland,0.0045817385091180135,0.009054888229260006
France,0.16714865391771325,0.10700125420184009
French Polynesia,5.79225514514044e-05,0.0011123165684016323
Gabon,8.700573801062505e-05,0.0010164110272063568
Gambia,7.405567199929679e-05,0.0016339326227116312
Georgia,0.0007581026764566421,0.0031154695991122607
Germany,0.10443232832723257,0.21129728538076786
Ghana,0.00554792765344487,0.007399709292371772
Greece,0.01181931119178572,0.011934955585175194
Grenada,1.4321429044310952e-05,0.00038888378062225355
Guatemala,0.016313032237387004,0.017579968860260652
Guinea,0.0,0.0023318627693701822
Guinea-Bissau,0.0,0.0001838021222011679
Guyana,0.0004258294005312242,0.0011881753937969597
Haiti,0.0,0.007042268636297413
Honduras,0.006610620659829922,0.011783687273939582
Hungary,0.011324189850468212,0.008745318726450318
Iceland,0.00022954022940214038,0.0011321357188175034
India,0.07727025731803372,0.04870505838710895
Indonesia,0.1524244406034945,0.06220481420518335
Iran (Islamic Republic of),0.004896517687501261,0.01911307859583537
Iraq,0.0,0.009908116378915996
Ireland,0.03425117932921719,0.019083977621168157
Israel,0.005330759250670386,0.01535632999904615
Italy,0.11470171579943739,0.08350820665556188
Jamaica,0.001213074080615838,0.004868564088471796
Japan,0.022057628873902543,0.2124294240554709
Jordan,0.0005698359809422725,0.006869159267013762
Kazakhstan,0.0029911338142583773,0.0033868541276430323
Kenya,0.0039839112347729265,0.004008204426853456
Kiribati,1.0810448560543342e-06,5.663685947983536e-05
Kuwait,0.00011941877874213638,0.007132953521044545
Kyrgyzstan,0.000293954441514418,0.0004836546549698305
Lao People's Democratic Republic,0.006201628668004895,0.0021618554995172755
Latvia,0.0023508634770014842,0.0043128446608797265
Lebanon,0.0007027383734130058,0.0030337989380350614
Lesotho,2.8953381646513267e-05,0.00013860670074659743
Liberia,0.0,0.0009265711534422478
Libya,0.0,0.004278642865231916
Lithuania,0.005042610733607873,0.004675958663192092
Luxembourg,0.0030843832738334707,0.005125593352226692
Madagascar,0.002412635631008989,0.0012481712939748878
Malawi,0.0012141284492019752,0.00014056341223327035
Malaysia,0.06588272858901867,0.042924334445293484
Maldives,1.1210430863347011e-07,0.0005402157646019323
Mali,0.0,0.0011614203927419221
Malta,4.2335945175783804e-05,0.0013235267764479238
Marshall Islands,0.0,0.00021321710114993674
Mauritania,9.801460397746953e-07,0.001788256783928014
Mauritius,0.0004956803844958052,0.0011832151527330528
Mexico,0.17575135404031908,0.25277059947175157
Micronesia (Federated States of),0.0,0.00024794798213696365
Mongolia,0.004569085979946778,0.0007819914139801676
Montenegro,4.1585758603254774e-05,0.00034455917927559234
Morocco,0.007151175272215298,0.01641191944832215
Mozambique,0.0012923992618168985,0.0022934667026039946
Myanmar,0.024042123215336327,0.00782605346400227
Namibia,0.00015911343016687825,0.000401875859289394
Nauru,0.0,2.625353077841802e-05
Nepal,0.0009219920631072959,0.003448955731576141
Netherlands (Kingdom of the),0.2170085838986351,0.1292558061284107
New Caledonia,0.0,0.0007991999585136082
New Zealand,0.13312500068271405,0.010988151573365542
Nicaragua,0.007350687842664292,0.0050987378751845905
Niger,9.00847023631986e-06,0.0007837499602591013
Nigeria,0.0,0.01495940967933785
Niue,0.0,6.991272722308741e-06
North Macedonia,0.0005266668052156197,0.0005356496372311548
Norway,0.0014932990991091523,0.01126356884108987
Oman,0.0004983911393592485,0.004892989313440832
Pakistan,0.01468542961270224,0.029828844804640653
Palestine,2.3161621556916756e-05,0.000482521796794283
Panama,0.0011275267498831588,0.010521505672313998
Papua New Guinea,0.0016307940589168441,0.001432465125450378
Paraguay,0.003383303961686058,0.004235433148545511
Peru,0.024666911594958853,0.01548334980485554
Philippines,0.020458470052210197,0.05705021103866211
Poland,0.057499122675123936,0.03912398574987099
Portugal,0.01143099014320775,0.021677136722078317
Qatar,3.079447831730072e-05,0.005006389064928946
Republic of Korea,0.027156669888860622,0.12509724122704804
Republic of Moldova,0.0009129465438890157,0.0007433521135097969
Romania,0.00898271330124774,0.013064880204693118
Russian Federation,0.032623926456602975,0.028381240073245245
Rwanda,0.00036111196257833573,0.00020215722199773544
Saint Kitts and Nevis,0.0,0.00019418514260816834
Saint Lucia,0.0,0.01203472997084788
Saint Vincent and the Grenadines,3.069154912117372e-06,0.0002626281730965488
Samoa,2.9226152403859028e-05,0.00030738952318277703
Sao Tome and Principe,2.8370728506338297e-05,4.564498509382836e-05
Saudi Arabia,0.0012124739110037986,0.02888548124434575
Senegal,0.0032161746474892445,0.004264751823323961
Serbia,0.0038689495210041,0.0026244795797268254
Seychelles,7.358811201246326e-06,0.00017133786305432706
Sierra Leone,0.0,0.0010451189034705326
Singapore,0.041752993440330136,0.03172389978420781
Slovakia,0.0027059755578916493,0.005342337453939341
Slovenia,0.002307027891513731,0.0054815389108944885
Solomon Islands,0.0,0.00012082720333059364
Somalia,0.0,0.0017359898481544738
South Africa,0.021647650416482547,0.012803515207027442
South Sudan,0.0,0.00029647215195503676
Spain,0.1316145148226462,0.08128541240246782
Sri Lanka,0.005159963828709454,0.004941347903965875
Sudan,0.0,0.0027420433818467747
Suriname,5.6897516253464675e-05,0.0006764175419781274
Sweden,0.008145717381723618,0.02070026916569316
Switzerland,0.02477981768737529,0.02566696813596496
Syrian Arab Republic,0.0,0.0012085731328058797
Tajikistan,0.0001868508879507636,0.00019890673454579628
Thailand,0.16694321428321945,0.04509185344578363
Timor-Leste,0.0001092568792688424,0.0004337059888848859
Togo,0.0002521949305946885,0.0027485900084813996
Tokelau,0.0,3.146907665384856e-09
Tonga,0.0,0.0002046958649063201
Trinidad and Tobago,0.0002576324802677961,0.0040680856820259105
Tunisia,0.0019268222175140824,0.005221054065033024
Turkmenistan,0.0,0.00031992362868178416
Tuvalu,0.0,7.1408372275481675e-06
Türkiye,0.025681256510134736,0.04004980646928787
Uganda,0.001667216582570712,0.0004541618710067489
Ukraine,0.06168826921541938,0.008600111653169925
United Arab Emirates,0.01402782699662662,0.037538737349944694
United Kingdom of Great Britain and Northern Ireland,0.04627180261782966,0.11497971177085854
United Republic of Tanzania,0.002901373597396249,0.0017212278084114555
