Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,0.0005458929831196
Albania,0.0002509935373546199,0.001958514363758168
Algeria,0.0,0.013277117780105705
Angola,8.027015311338504e-06,0.001525769461311089
Antigua and Barbuda,5.0749061034219165e-06,0.00010164512234464007
Argentina,0.017736747798821496,0.0017178023339702044
Armenia,0.00023528731816181304,0.0004360626473659191
Australia,0.028520523952556928,0.012037795014673698
Austria,0.10793093847469354,0.06740656309339042
Azerbaijan,0.00045622137168486646,0.000727856526834187
Bahamas,4.9145152315995215e-06,0.0006709396428062888
Bahrain,0.00014995578630646957,0.0009470240693580107
Bangladesh,0.0,0.00733979136410693
Barbados,0.00010124414670018479,0.0002564866972870888
Belarus,0.0028332950267683328,0.0033221960650041803
Belgium,0.27562027180026727,0.3366997143824867
Belize,0.0,0.0002480012457895669
Benin,0.00019706521010801645,0.0012068823089323006
Bhutan,0.0,8.650518749805767e-05
Bolivia (Plurinational State of),0.0007981039757990778,0.00044873915443282783
Bosnia and Herzegovina,0.0008201596159198715,0.002386529611675235
Botswana,1.9125348480663048e-05,0.00015730238406506296
Brazil,0.08738172744525208,0.006468734900626283
Brunei Darussalam,2.4821201511518356e-06,0.0001753958541399196
Bulgaria,0.012206306047083627,0.009668420179305755
Burkina Faso,0.0006497372748526482,0.0008875532738837012
Burundi,7.77297244596188e-05,5.677494110007238e-05
Cabo Verde,0.0,0.00035073729016301335
Cambodia,0.002018654307124277,0.0023682457806296505
Cameroon,0.0019959960405988137,0.001579527858987514
Canada,0.09225090918919214,0.05866328856291009
Central African Republic,1.8774971188240516e-06,0.00012129474366064376
Chad,0.0,0.00021209579569697956
Chile,0.013082059977498058,0.00719825405715933
"China, Hong Kong SAR",0.013696230085225157,0.016902466074200897
"China, Macao SAR",3.539210234216573e-05,0.0008453415433318889
"China, Taiwan Province of",0.004257025696354081,0.01092996767666215
"China, mainland",0.04042985615883069,0.14185675105414633
Colombia,0.01386313000385477,0.007903648906386214
Comoros,3.9201798804377746e-05,9.296178110109923e-05
Congo,1.450461742344057e-05,0.0008385190222456689
Cook Islands,0.0,1.3620820882313884e-05
Costa Rica,0.007048342941402573,0.002405799783464359
Croatia,0.006562933730576742,0.01247904157257439
Cuba,0.0006109348750167571,0.0018534102906297457
Cyprus,0.0010598000909810869,0.0036227988973778534
Czechia,0.051486668340942156,0.04845345316527056
Côte d'Ivoire,0.016567309072310295,0.003953492025561865
Democratic People's Republic of Korea,0.0,3.8583839192421994e-05
Democratic Republic of the Congo,0.0002157571291493388,0.0016137057704948738
Denmark,0.06647361576420534,0.06837842245176037
Djibouti,7.996348474989499e-05,0.0007102891696148904
Dominica,4.235454881995441e-06,4.334955700475813e-05
Dominican Republic,0.004806102880004253,0.004442488044525164
Ecuador,0.007314422107534446,0.0020810104189739284
Egypt,0.0048623357824969845,0.010773328518608823
El Salvador,0.000918101060559,0.0019064546624517787
Equatorial Guinea,0.0,0.0005138550437417078
Eritrea,0.0,3.633083708756476e-05
Estonia,0.0015105132298101336,0.004885412976515091
Eswatini,0.0002309440158940701,7.277571695933906e-05
Ethiopia,0.0035080569066340077,0.0006329440715333533
Faroe Islands,0.0,0.00020533624803808573
Fiji,8.957496896840934e-05,0.00011714850229323792
Finland,0.0038549382514718542,0.02255455790727288
France,0.2643762131663264,0.3214815949907702
French Polynesia,3.657340950858573e-05,0.00046882967817708646
Gabon,9.345416088470023e-05,0.0009613973888542998
Gambia,8.427710665189054e-06,0.000645792608990481
Georgia,0.0007839981766724962,0.0013329491384717223
Germany,0.22514048476777468,0.7318755751540164
Ghana,0.005206199117434912,0.004203784227287086
Greece,0.022845388862847565,0.023483834720661553
Grenada,6.304743784637863e-06,9.793776197475374e-05
Guatemala,0.007895119280439115,0.004066338626678943
Guinea,0.0,0.0013869175398170013
Guinea-Bissau,0.0,0.00022178250915108743
Guyana,0.00036820693774881625,0.0003127013642601159
Haiti,0.0,0.0014770153032684595
Honduras,0.005248691921692359,0.002523197627110215
Hungary,0.03629787599677111,0.02647610625086304
Iceland,0.0003050983190468081,0.002395995121259027
India,0.02682965794017824,0.009798458172655358
Indonesia,0.036834391786543325,0.011135735697380756
Iran (Islamic Republic of),0.002487352718882587,0.0047137831240975725
Iraq,0.0,0.006006170900649045
Ireland,0.06307876802070217,0.04040900103664848
