Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,0.0011578855322639527
Albania,8.389752019410296e-05,0.0010393188010077582
Algeria,0.0,0.022596030198608622
Angola,6.710706563234545e-06,0.004984516035951883
Antigua and Barbuda,4.1754819735510456e-06,0.00033390012840198575
Argentina,0.0948550446085667,0.0076682479798898095
Armenia,0.0003108977430005382,0.0004473926627522399
Australia,0.14830063446475963,0.03112585109922672
Austria,0.017950622733370343,0.011009627898396863
Azerbaijan,0.00042785658598977564,0.0007596676871101518
Bahamas,5.947034680561767e-06,0.0029940537333385305
Bahrain,0.00016240227021694812,0.0020713361991397303
Bangladesh,0.0,0.03928855391066273
Barbados,0.0001347245512075173,0.0010023672366266333
Belarus,0.006245207946521378,0.0017689770160459032
Belgium,0.0477469308246122,0.058587994370896054
Belize,0.0,0.0007882709523783091
Benin,0.0014249178391892126,0.0036379552962732017
Bhutan,0.0,0.00017894242476034332
Bolivia (Plurinational State of),0.002377844305967557,0.0018752978327866625
Bosnia and Herzegovina,0.0001524542114520026,0.0003761505786941824
Botswana,3.8874113476744536e-05,0.00021291528833334487
Brazil,0.5480282726629363,0.014970552644557237
Brunei Darussalam,8.492551766127713e-06,0.0004933794706562573
Bulgaria,0.006638050300546243,0.0026300639700428856
Burkina Faso,0.0007423600505898987,0.0005607852163053296
Burundi,3.814998166017482e-05,8.460478362325832e-05
Cabo Verde,0.0,0.00031512289328041625
Cambodia,0.007505037043719061,0.005062335353312035
Cameroon,0.0014507424874399574,0.0025150444953525577
Canada,0.21396423154653835,0.24186675558376122
Central African Republic,1.714420368625585e-05,0.00010044502761123298
Chad,0.0,0.00015183988193273072
Chile,0.058226554013508354,0.02774814112164762
"China, Hong Kong SAR",0.06385990392481851,0.051748061834069235
"China, Macao SAR",7.756907538794776e-05,0.0011291512014678685
"China, Taiwan Province of",0.01564072712423695,0.056958627225934685
"China, mainland",0.07964438261757284,0.8139905934960524
Colombia,0.019833306765605886,0.0373784436906245
Comoros,2.7621124176349943e-05,0.00012495667958258748
Congo,8.689511748713354e-06,0.0016258532969295359
Cook Islands,0.0,8.436936154147916e-05
Costa Rica,0.010161643415025233,0.010055392469782319
Croatia,0.0012545686570272173,0.0027610307597263854
Cuba,0.0012941901722301166,0.004873638634276269
Cyprus,0.00048720490567757664,0.0011279411252254044
Czechia,0.0059332818765490975,0.0073000829081064115
Côte d'Ivoire,0.01712377068802894,0.005184089551600804
Democratic People's Republic of Korea,0.0,6.844160910284297e-05
Democratic Republic of the Congo,0.00016462118896013573,0.00283772994524184
Denmark,0.032579006875409454,0.013150069990937907
Djibouti,0.00023042017816726385,0.002501175201349902
Dominica,2.8529226360314247e-06,0.00010464882289779452
Dominican Republic,0.006401776090466816,0.01822248359026123
Ecuador,0.011392494586860018,0.007922569068317911
Egypt,0.004866150774746713,0.04465591971818523
