Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,0.0010972434008050937
Albania,7.622064143220326e-05,0.0010175582457612482
Algeria,0.0,0.02231890946023416
Angola,6.311941718997115e-06,0.0049440785316422
Antigua and Barbuda,3.983105291233095e-06,0.000315599052296241
Argentina,0.09976837129092593,0.00752914212735126
Armenia,0.0002903270696210798,0.00041904302738838585
Australia,0.14643912942473988,0.030781148639065267
Austria,0.01695071506313579,0.010277226082366689
Azerbaijan,0.0004014282747941351,0.0007003617839911478
Bahamas,5.388726017881364e-06,0.0027787652749486852
Bahrain,0.00015601313160703436,0.0020535895647154764
Bangladesh,0.0,0.03962275495227745
Barbados,0.00011871894047247674,0.0009461004554509848
Belarus,0.006084547649659616,0.001635561768481363
Belgium,0.04672332379387107,0.058722617319124655
Belize,0.0,0.0007248834597098691
Benin,0.0014473680979704326,0.0035017719711127326
Bhutan,0.0,0.00015952408666641428
Bolivia (Plurinational State of),0.0023622494827154152,0.0018360951522010522
Bosnia and Herzegovina,0.00014138286394597388,0.00034474213656429144
Botswana,3.8263042697529726e-05,0.00020292162562827475
Brazil,0.576769086577372,0.01456868981994832
Brunei Darussalam,7.842188152343793e-06,0.0004527714907444231
Bulgaria,0.0062680474787651635,0.0024026179935901304
Burkina Faso,0.0007140009292653648,0.0005219112796605543
Burundi,3.6026473803413215e-05,8.312701340613743e-05
Cabo Verde,0.0,0.00030653300045723175
Cambodia,0.007199550170536144,0.00481310150898461
Cameroon,0.0013824580694890337,0.0023993338211811184
Canada,0.19788794888448355,0.22381422789814895
Central African Republic,1.7390232909540756e-05,9.769314911483664e-05
Chad,0.0,0.00014474770158402352
Chile,0.06014382550823119,0.02714784212306844
"China, Hong Kong SAR",0.060989983816788475,0.05148304461672256
"China, Macao SAR",8.106012706350638e-05,0.0012123183380250177
"China, Taiwan Province of",0.014776826320389572,0.057101960242776514
"China, mainland",0.0740022792870353,0.8341432586383829
Colombia,0.017888039690550528,0.035191328540982905
Comoros,2.5994348717262784e-05,0.00012235697683991647
Congo,8.024721249927065e-06,0.0015941876296800923
Cook Islands,0.0,8.13988875129974e-05
Costa Rica,0.009252408188552797,0.00935592061463605
Croatia,0.001182223073759,0.0026152770824429106
Cuba,0.0013223853811241415,0.004619173978291327
Cyprus,0.00045099854122220164,0.001033270736034753
Czechia,0.005712409302554001,0.006848420521847986
Côte d'Ivoire,0.016402185292316386,0.004956482686283669
Democratic People's Republic of Korea,0.0,5.9374742622034604e-05
Democratic Republic of the Congo,0.0001570403234861775,0.0028069813961271563
Denmark,0.03168643344843294,0.012516718951736392
Djibouti,0.0002217222026894836,0.0023849698397245458
Dominica,2.520537587462728e-06,9.897922212196716e-05
Dominican Republic,0.005560176167520529,0.01700707756411082
Ecuador,0.010593882465051233,0.007450381616157464
Egypt,0.004618873920118062,0.04457653873762794
El Salvador,0.0020712317709842593,0.006794551361755264
Equatorial Guinea,0.0,0.00042035977300417687
Eritrea,0.0,0.0002043268609926331
Estonia,0.0005516399105562792,0.002050689747650336
Eswatini,0.0002142973953443078,0.0001459403487947724
Ethiopia,0.0033634947510516296,0.002347496543256437
Faroe Islands,0.0,6.547637262547134e-05
Fiji,0.00020432016914624903,0.0006040398279957129
Finland,0.004222453034010375,0.00535732986377816
France,0.1281503474504132,0.059402856253113194
French Polynesia,5.3436083655342515e-05,0.0010692534360026173
Gabon,6.365702385482475e-05,0.0008541273585580861
Gambia,9.054555496509805e-05,0.0016793727318886202
Georgia,0.0006100194480749822,0.003294931001091537
Germany,0.0669739778972758,0.12105821977618672
Ghana,0.004412389978201488,0.006860402583256381
Greece,0.007278646975301428,0.007883496134938764
Grenada,9.506009960582698e-06,0.00035944895758874317
Guatemala,0.011033521872558594,0.014459097161515512
Guinea,0.0,0.0021248475313340683
Guinea-Bissau,0.0,0.00013807488790985064
Guyana,0.00029880518993861336,0.0011077949577902703
Haiti,0.0,0.006154496054212747
Honduras,0.0041820659783872935,0.00980454010905378
Hungary,0.005809397744659486,0.004441850743963353
Iceland,0.00014753693425235398,0.0007114859379302311
India,0.06851334148328204,0.050576896448499664
Indonesia,0.14638720681623593,0.06841723757666907
Iran (Islamic Republic of),0.004488349804514214,0.022149863041838514
Iraq,0.0,0.008993360540313921
Ireland,0.023944441695992476,0.012406305291830481
Israel,0.00416812117375552,0.014549612829413104
Italy,0.07451104706914688,0.059142466060125284
Jamaica,0.0007840271267421578,0.004179439979227277
Japan,0.019696592882002373,0.2135687273721693
Jordan,0.00041206544755477897,0.007060012687573596
Kazakhstan,0.0027539878343423125,0.0027692616903967023
Kenya,0.0031076669712375524,0.003838228971800338
Kiribati,1.066750352665772e-06,5.433832359315037e-05
Kuwait,8.261541418919776e-05,0.0070527254964098274
Kyrgyzstan,0.00026593134073994414,0.00036004865279606153
Lao People's Democratic Republic,0.005437772343737098,0.001391428004409548
Latvia,0.0014772424441975537,0.002879464297963862
Lebanon,0.0005215992789593991,0.0028710710548400077
Lesotho,2.002192500741465e-05,9.94863984202424e-05
Liberia,0.0,0.0008721660166742755
Libya,0.0,0.0038293818754552423
Lithuania,0.002914645753072384,0.002695714239375968
Luxembourg,0.0012811859118251696,0.0024113283422164387
Madagascar,0.0019019980513593558,0.001232061309477326
