Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,0.0004081642876706609
Albania,0.00033307677718766266,0.002483643160339171
Algeria,0.0,0.018555206321653802
Angola,0.0,0.0021656432682592075
Antigua and Barbuda,0.0,0.00011517534387288875
Argentina,0.0,0.0014840364403477504
Armenia,0.0,0.0008323300601688961
Australia,0.0,0.02414177768848496
Austria,0.10696485483296342,0.0756215664775372
Azerbaijan,0.0,0.0011754401599531296
Bahamas,0.0,0.00019215542323287277
Bahrain,0.0,0.0012932587792664095
Bangladesh,0.0,0.0017170086936244245
Barbados,0.0,0.00023655226111855888
Belarus,0.006119176146281715,0.004722642182563598
Belgium,0.2738417134633663,0.2886385402196738
Belize,0.0,0.00013097406155787342
Benin,0.0,0.0012571527919785213
Bhutan,0.0,2.8178565138147863e-06
Bolivia (Plurinational State of),0.0,0.00015842722389551196
Bosnia and Herzegovina,0.0009523560467578884,0.0028377263917444225
Botswana,0.0,3.956133791951681e-05
Brazil,0.0,0.010948252508194686
Brunei Darussalam,0.0,8.456767955359893e-05
Bulgaria,0.01767530445668389,0.01356866599124662
Burkina Faso,0.0,0.0015198125284678874
Burundi,0.0,9.767927824639566e-05
Cabo Verde,0.0,0.0006095770181401958
Cambodia,0.0,0.001405848374988001
Cameroon,0.0,0.0025200430752203157
Canada,0.0,0.02679855592894232
Central African Republic,0.0,0.0002275001692040201
Chad,0.0,0.00035591649141051933
Chile,0.0,0.00808835501153108
"China, Hong Kong SAR",0.0,0.01822142238544412
"China, Macao SAR",0.0,0.0005432848741914664
"China, Taiwan Province of",0.0,0.011034730041365003
"China, mainland",0.0,0.13533955103216014
Colombia,0.0,0.004628707381681344
Comoros,0.0,0.00018572809967933165
Congo,0.0,0.0014055299318025004
Cook Islands,0.0,7.834310365977254e-06
Costa Rica,0.0,0.001377543752187147
Croatia,0.007331228481989956,0.014512881611450153
Cuba,0.0,0.0025809322255269784
Cyprus,0.0,0.005766220242177652
Czechia,0.04879389702577471,0.05281436244021233
Côte d'Ivoire,0.0,0.006753141603067614
Democratic People's Republic of Korea,0.0,9.53905475947036e-07
Democratic Republic of the Congo,0.0,0.002769213726022954
Denmark,0.07350890712105207,0.07267621163866668
Djibouti,0.0,0.00044440411152068355
Dominica,0.0,6.084136590119357e-05
Dominican Republic,0.0,0.0031188926905117566
Ecuador,0.0,0.0016329194595310025
Egypt,0.0,0.011745237119359805
El Salvador,0.0,0.0005058056626967203
Equatorial Guinea,0.0,0.0010515774718792862
Eritrea,0.0,2.221705378973203e-05
Estonia,0.0020265939229044063,0.006261077032438113
Eswatini,0.0,8.420434026186123e-06
Ethiopia,0.0,0.0008491984130604772
Faroe Islands,0.0,0.00027581245240383435
Fiji,0.0,5.336771033861672e-05
Finland,0.005543695195187164,0.03088412702186686
France,0.30722514783494415,0.3574225413875283
French Polynesia,0.0,0.001141239251489873
Gabon,0.0,0.0019191495709653457
Gambia,0.0,0.0008001763964368699
Georgia,0.0,0.0017563090812057224
Germany,0.25729574192441584,0.6981012106058291
Ghana,0.0,0.006189221597608188
Greece,0.03238461472534054,0.033408869964982234
Grenada,0.0,8.773127523878577e-05
Guatemala,0.0,0.0015372783360191695
Guinea,0.0,0.002073815470399872
Guinea-Bissau,0.0,0.0003670676633672895
Guyana,0.0,0.00032080144317102034
Haiti,0.0,0.000660553478045574
Honduras,0.0,0.0007143182194895363
Hungary,0.04185165802559668,0.03181517285386385
Iceland,0.0004812732441089887,0.0033920580875350234
India,0.0,0.007224386750196931
Indonesia,0.0,0.006759301145025444
Iran (Islamic Republic of),0.0,0.004024190506297634
Iraq,0.0,0.005088932806119993
Ireland,0.07424471747428052,0.04694487630515257
Israel,0.0,0.014749152561934011
Italy,0.28374342568424,0.1918483776949908
Jamaica,0.0,0.0008060214674439353
Japan,0.0,0.04883066141861296
Jordan,0.0,0.004353159590142934
Kazakhstan,0.0,0.0033060354251061705
Kenya,0.0,0.001112097187224011
Kiribati,0.0,1.4801034273260244e-05
Kuwait,0.0,0.005129896568559556
Kyrgyzstan,0.0,0.00036459430154533697
Lao People's Democratic Republic,0.0,9.817524116332775e-05
Latvia,0.007040399418697286,0.011106345403384774
Lebanon,0.0,0.0031749066890932524
Lesotho,0.0,4.684475441035397e-06
Liberia,0.0,0.0006413659800208788
Libya,0.0,0.00582061520676271
Lithuania,0.016182843107728353,0.015294140295597397
Luxembourg,0.013452505044219243,0.01810539941305908
Madagascar,0.0,0.000501477830289966
Malawi,0.0,3.676717321979388e-05
Malaysia,0.0,0.007054873097813724
Maldives,0.0,0.00045632845679286025
Mali,0.0,0.002193052036162387
Malta,8.827836227556278e-05,0.004469847774916686
Marshall Islands,0.0,1.149277525203304e-06
Mauritania,0.0,0.00205936684895452
Mauritius,0.0,0.0012367415995094516
Mexico,0.0,0.010573732869218854
Micronesia (Federated States of),0.0,8.487569476981657e-07
Mongolia,0.0,0.001033817210936333
Montenegro,6.843267122786306e-05,0.0008821888607197195
Morocco,0.0,0.015577874740250745
Mozambique,0.0,0.0005079969391322796
Myanmar,0.0,0.0005107960382397442
Namibia,0.0,0.00023816150144795925
Nauru,0.0,1.2033370420171512e-06
Nepal,0.0,0.00019529876356811986
Netherlands (Kingdom of the),0.7134611878911817,0.20955887809884385
New Caledonia,0.0,0.0012428878705513227
New Zealand,0.0,0.004981822721306702
