Country,Hub Score (出),Authority Score (进)
Afghanistan,0.0,0.0012991440686598349
Albania,0.00012991284009147917,0.001274997617222486
Algeria,0.0,0.022813993748326114
Angola,8.457839990884214e-06,0.004772051206298948
Antigua and Barbuda,5.1123113664006585e-06,0.00034757576738518104
Argentina,0.08253655738962629,0.007438104486900471
Armenia,0.0003669605889457662,0.0005209664078350941
Australia,0.13988998832241095,0.03120616305954474
Austria,0.031532318638185196,0.021161479155059393
Azerbaijan,0.0005168895494368408,0.0009076069784748391
Bahamas,7.859298741799397e-06,0.003295399850395558
Bahrain,0.0002221187006476571,0.0020660702341081813
Bangladesh,0.0,0.037186996189594215
Barbados,0.0001789605074199382,0.0010372891498055474
Belarus,0.006211775940336298,0.002344972399318092
Belgium,0.08561233297207599,0.09772323065676465
Belize,0.0,0.0009049867258680723
Benin,0.0012575460231136052,0.0036811063105678054
Bhutan,0.0,0.00023118572469041596
Bolivia (Plurinational State of),0.0023857732215275236,0.0019493822865675038
Bosnia and Herzegovina,0.00026987686159419654,0.0007356045478231479
Botswana,4.150408898778948e-05,0.0002683353473161265
Brazil,0.46691673335288914,0.01541038613663369
Brunei Darussalam,9.882336002523308e-06,0.0005827515467610597
Bulgaria,0.00843922926698758,0.00421237216408166
Burkina Faso,0.0008482633512196161,0.0007282024777967989
Burundi,5.19582816971186e-05,8.930093073650092e-05
Cabo Verde,0.0,0.0003515622152493775
Cambodia,0.007841761147295229,0.006486142142334382
Cameroon,0.0017806725371880172,0.0027299938728709314
Canada,0.2532589735535727,0.2682379218726111
Central African Republic,1.4916772618584317e-05,0.00011454526153330057
Chad,0.0,0.00018214404437499152
Chile,0.053636644705953834,0.027671552342334687
"China, Hong Kong SAR",0.06772913276301364,0.051723366648598744
"China, Macao SAR",0.00010011371214606381,0.0018471261365520803
"China, Taiwan Province of",0.016989550884622437,0.05327642943266247
"China, mainland",0.09152011538899735,0.7303366481947274
Colombia,0.025301167933582672,0.03870149473728557
Comoros,3.572383785508665e-05,0.0001327905001497151
Congo,1.1808781179436304e-05,0.001647807732326534
Cook Islands,0.0,8.167278249367866e-05
Costa Rica,0.012922250414697072,0.010804019638829652
Croatia,0.0022193150462124643,0.004521841416120901
Cuba,0.0012275441704695928,0.005227798421802909
Cyprus,0.000666428299810199,0.0017401696951585047
Czechia,0.012100482000363691,0.014173133943021917
Côte d'Ivoire,0.0198982789640504,0.005710183439810734
Democratic People's Republic of Korea,0.0,9.043122442031393e-05
Democratic Republic of the Congo,0.00020360500744036325,0.0028713953415002965
Denmark,0.03912612339133838,0.022048692704640716
Djibouti,0.0002657301308482607,0.0025566741110187373
Dominica,4.139288609017738e-06,0.00011096039417342653
Dominican Republic,0.008850457516322602,0.019419214540248187
Ecuador,0.01373438469929148,0.008372493120025595
Egypt,0.005620779940374555,0.04164233337992849
El Salvador,0.002468887821761041,0.008288865380250237
Equatorial Guinea,0.0,0.0005123741325402396
Eritrea,0.0,0.000188514307368282
Estonia,0.0008015988760537756,0.0028574282370829093
Eswatini,0.0002857478484517869,0.00016895146953147992
Ethiopia,0.004098224521280751,0.002277092295571253
Faroe Islands,0.0,0.00010333792542996544
Fiji,0.00025424476590110533,0.0006331155741417746
Finland,0.004581738509118014,0.009054888229260004
France,0.1671486539177133,0.10700125420184006
French Polynesia,5.792255145140441e-05,0.0011123165684016325
Gabon,8.700573801062505e-05,0.001016411027206357
Gambia,7.40556719992968e-05,0.00163393262271163
Georgia,0.0007581026764566421,0.0031154695991122586
Germany,0.10443232832723257,0.21129728538076775
Ghana,0.0055479276534448705,0.007399709292371766
Greece,0.011819311191785718,0.011934955585175187
Grenada,1.4321429044310949e-05,0.00038888378062225344
Guatemala,0.016313032237387004,0.017579968860260652
Guinea,0.0,0.002331862769370181
Guinea-Bissau,0.0,0.00018380212220116786
Guyana,0.00042582940053122425,0.0011881753937969597
Haiti,0.0,0.007042268636297412
Honduras,0.006610620659829919,0.01178368727393958
Hungary,0.011324189850468212,0.008745318726450317
Iceland,0.00022954022940214027,0.0011321357188175032
India,0.07727025731803372,0.04870505838710892
Indonesia,0.15242444060349453,0.06220481420518333
Iran (Islamic Republic of),0.004896517687501261,0.019113078595835352
Iraq,0.0,0.009908116378915992
